NDVI,VH_dB,VV_dB,VV+VH_dB,Angle,Entropy,Anisotropy,Alpha,BDOP,S0,S1,S2,S3,Eig_1,Eig_2,RVI,DpRVI,PRVI,PRVI_dB,NSE,Height(cm),Moisture,NDVI,Ph_dB,Pv_dB,Pg_dB,TP_dB
0.226435536294691,-16.314144,-10.057621,-9.13469133700267,39.85233,0.7379228,0.5834338,19.98483,0.609101919006387,0.040791145,0.024549441,0.0022143046,-0.0031215002,0.0328185548489839,0.0079725901510161,0.765798875157831,0.509946466628174,0.0091337503597701,-20.3935086254026,0.208293112900605,4.1,30.6078672597079,0.226435536294691,-25.0563663290668,-15.8102942321955,-19.4198275393416,-13.8943410394492
0.217097862767154,-17.825817,-10.066216,-9.39361137064958,40.088814,0.7332745,0.5884322,19.733809,0.486805367470918,0.037073186,0.017726054,0.0029575814,-0.00165810274,0.0275603059670239,0.00951288003297615,0.573904157281044,0.638107583365293,0.00846643050292706,-20.7229965219887,0.208940913412544,5.9,20.4722431549862,0.217097862767154,-27.8038856303021,-14.5126600402059,-44.3150798255586,-14.3094008991425
0.319919517102616,-16.458443,-9.032728,-8.31061262990485,40.26997,0.67683125,0.642943,16.42981,0.665675003009027,0.052174837,0.034686617,-0.0017304982,-0.00034642732,0.0434531608884853,0.00872167611151474,0.612740977729843,0.445600893679952,0.00755656670283859,-21.2167547972231,0.327122481183596,7,28.0284335751906,0.319919517102616,-34.6038786591166,-14.6491376607672,-17.558509761084,-12.8253889904471
0.344729344729345,-16.69037,-10.343152,-9.43744011947381,39.645832,0.74057215,0.5805927,20.361393,0.567490520943255,0.042014753,0.023089441,0.0043293396,-0.004077002,0.0329288635336361,0.00908588946636392,0.752951274518579,0.55523199384815,0.00926741261345034,-20.3304150043465,0.251293552869844,3.3,23.55869060706,0.344729344729345,-23.8965907550179,-15.2729297825461,-20.8401318231349,-13.7659818528158
0.252422233554309,-15.871244,-9.984612,-8.98838611640758,39.46968,0.75662166,0.56379294,21.596079,0.534513738131207,0.040433997,0.018482855,-0.0035277574,-0.010632042,0.031023261942028,0.00941073505797199,0.819925029818469,0.589890662808898,0.0120443234312979,-19.1921759070976,0.243440752995187,3,23.7490048064164,0.252422233554309,-19.7338331645846,-16.4515810756967,-21.4485927541479,-13.9325332546713
0.394479073909172,-17.514816,-10.443191,-9.66492562420555,39.24334,0.67373896,0.64546657,16.644915,0.614814322403456,0.041859508,0.024094976,-0.0087509192,-0.0022773308,0.033797666523581,0.00806184147641898,0.656252500675518,0.503594513282062,0.00682634994144316,-21.6581145210452,0.22129256739518,3.1,28.2141635306192,0.394479073909172,-26.4257388015345,-15.089970638667,-20.6510910371262,-13.7820588049186
0.205387205387205,-18.005825,-9.410162,-8.84806624603896,40.60938,0.6736895,0.6457774,16.747086,0.700083219679544,0.051415153,0.035720267,0.0042260332,-0.001354613,0.0437050194262782,0.00771013357372183,0.485605997408271,0.40490013292179,0.00474698862504317,-23.235818089572,0.289437297234404,3.7,20.3211531837092,0.205387205387205,-28.6818476085636,-15.424125851336,-16.6999242100597,-12.8890886749427
0.208163265306122,-20.26869,-11.892271,-11.3029611853263,40.970562,0.6789309,0.6407487,21.063473,0.656221807788488,0.038940452,0.024891622,0.0057296087,-0.00075091457,0.0322470129037704,0.00669343909622958,0.507559560616333,0.45657556559716,0.0032315376961489,-24.9059077363146,0.146567704212239,3.6,23.9096130783311,0.208163265306122,-31.2440946897187,-15.751864376699,-19.3577769556801,-14.0959901172799
0.266318537859008,-20.26869,-11.892271,-11.3029611853263,40.970562,0.64099795,0.674054,19.772863,0.73650989894258,0.039136466,0.028098632,0.005587053,-0.0031776475,0.0339804303093148,0.00515603569068515,0.507559560616333,0.360521634908506,0.00247682434028642,-26.0610479307079,0.0796623781330593,4,28.2129655956781,0.266318537859008,-24.978942812305,-18.0353715359433,-16.9382284838851,-14.0741839344533
0.262483994878361,-19.98765,-11.102733,-10.5747426392736,41.23686,0.6906864,0.62999064,22.017462,0.630661596059968,0.033542957,0.01983699,0.006501819,-0.003423839,0.0273486058990954,0.00619435110090456,0.457898563796417,0.485802177597563,0.00370390205846772,-24.3134050579933,0.0688698377404912,6.1,24.9465145302193,0.262483994878361,-24.6548666544802,-16.8688699833275,-20.1977558103925,-14.7439865454519
0.258139534883721,-19.706661,-11.62135,-10.9940025560254,41.099636,0.6518954,0.66500175,19.517881,0.702195422828177,0.03999827,0.027651004,0.0046423906,-0.0016514859,0.0340424360575228,0.00595583394247721,0.538014796676292,0.40236308266549,0.00318614356952232,-24.9673465852657,0.126498033095832,4.6,24.1723033107867,0.258139534883721,-27.8212512986136,-16.6975753887213,-17.7069647082883,-13.9795879231458
0.298245614035088,-19.391045,-11.724953,-11.038807604683,41.202312,0.6789468,0.6409862,21.017513,0.626463336550971,0.03831889,0.023078702,0.0046257204,-0.004715345,0.0311621348411648,0.00715675515883518,0.584569625628147,0.490540175703227,0.00429762709409699,-23.667712710228,0.157058025574168,4,21.9440601909646,0.298245614035088,-23.2648652644418,-16.7675437818862,-19.0122275348249,-14.1658707980897
0.190721649484536,-19.218218,-12.278002,-11.4779024049719,39.63434,0.667103,0.6513701,19.70104,0.676761666041355,0.038602002,0.025555514,0.005095542,-0.0018528599,0.0323631785930259,0.00623882340697414,0.673020754954024,0.432615990667787,0.00386991196232393,-24.1229891475158,0.12516179667463,6.8,25.9965465299974,0.190721649484536,-27.3215741767904,-16.49999130638,-18.4278852790806,-14.1339017110529
0.233243967828418,-19.611103,-12.232221,-11.5028978613677,40.81905,0.70393705,0.6175608,21.93793,0.609300008119408,0.03718422,0.021292005,0.0077321106,0.0004183089,0.0299202827739569,0.00726393722604306,0.618357299458654,0.50972674599314,0.00427300220139977,-23.6926688343941,0.148782496952782,5.7,25.1523524735986,0.233243967828418,-33.7850289520954,-15.093700472271,-22.3521890059339,-14.2964132411999
0.210875331564987,-19.619133,-11.335478,-10.7342862629562,39.41199,0.6934793,0.62745196,20.589592,0.640421317838006,0.0351701,0.020977901,0.008200001,-0.000062407,0.0288468908952472,0.00632320910475278,0.517100858941662,0.474719608910313,0.00392536980969467,-24.0611942204124,0.092580365177147,4.5,24.0628669496884,0.210875331564987,-42.0476669411774,-15.48834235546,-21.644293356963,-14.5382639684125
0.206703910614525,-19.250023,-11.415535,-10.7535953116038,38.754246,0.6718446,0.64719677,18.564497,0.68473512270335,0.032082252,0.020528063,0.007340687,-0.0027016934,0.0270250483799099,0.00505720362009011,0.565479901674188,0.42320134451654,0.00374690982554584,-24.263267586647,-9.87281869922387E-16,5.1,26.4220408664171,0.206703910614525,-25.6836393815757,-17.5190428476537,-19.3272200474889,-14.937351542019
0.376278118609407,-17.754822,-11.297197,-10.4120543820613,41.0826,0.68930614,0.6313827,21.347265,0.630740135282204,0.03995379,0.023886187,0.006497718,-0.0047215316,0.0325771244548184,0.00737666554518161,0.737536201200913,0.485713373230991,0.00619227191429658,-22.0814998121959,0.181007783391906,6.4,26.8541358329222,0.376278118609407,-23.2591709934652,-16.4412449211523,-19.0169845997973,-13.9844201740091
0.390178089584458,-17.754822,-11.297197,-10.4120543820613,41.0826,0.6927224,0.62823313,20.973017,0.631642756847348,0.040342025,0.02436439,0.0067936773,-0.0030890005,0.0329118864439023,0.00743013855609769,0.737536201200913,0.484692335437467,0.00617713547868273,-22.0921287348842,0.186603423265147,5.6,28.3188289922814,0.390178089584458,-25.1018202140162,-15.8876309633316,-19.4021871331311,-13.942423058195
0.283687943262411,-17.754822,-11.297197,-10.4120543820613,41.0826,0.67017645,0.64881146,20.098753,0.617909609002811,0.040082313,0.023559557,0.0072020367,-0.0025484178,0.0324247796768791,0.00765753332312086,0.737536201200913,0.500139053049592,0.00640743233414413,-21.9331597149768,0.19148963710795,4.1,27.4316693020104,0.283687943262411,-25.9372937015145,-15.5363875471092,-20.1839796911371,-13.9704722491146
0.239751552795031,-19.722033,-10.917156,-10.3799282839846,40.996964,0.63129026,0.6824886,18.120094,0.717282035183017,0.0468265,0.032916296,0.0004646403,-0.0066665104,0.0402071536102488,0.00661934638975122,0.465424908933359,0.384112223410346,0.00301404830681084,-25.2084979143305,0.213757811461865,5.5,28.4159924961895,0.239751552795031,-21.7610143903765,-18.3900993246809,-15.905301052018,-13.2950830191239
0.2833617,-17.694847,-9.696919,-9.05771571067168,40.120064,0.65384585,0.66333455,16.506037,0.662823925650909,0.042120554,0.027703322,0.0030677806,-0.0015993518,0.0350195324764356,0.00710102152356445,0.547452947083325,0.448920258966905,0.00573286857302356,-22.4162801438526,0.191980931608244,3,28.263914485809,0.2833617,-27.9605599654525,-15.9115379612386,-18.2723827096319,-13.7550592529375
0.29447237,-17.687778,-9.5962305,-8.96972084625964,40.016617,0.6300982,0.6834635,15.583049,0.744470438519518,0.048834115,0.035695205,0.0066350708,-0.00188535288,0.0425948350043813,0.00623927999561871,0.537346280272583,0.350646663825519,0.00435174381323324,-23.6133667943442,0.213294744694427,3,30.141099738465,0.29447237,-27.2460735129709,-16.4768018469672,-16.1186951688018,-13.1127667840899
0.28614762,-18.988243,-10.097293,-9.56999299790731,40.071934,0.6243783,0.6882191,15.267169,0.748569945968349,0.0417584656,0.0311643304,0.0021221722,-0.0011892226,0.0365087989689566,0.00524966663104343,0.457335534622297,0.345536545012297,0.00317389711546207,-24.9840715537301,0.108453125607875,2.7,25.1797312707621,0.28614762,-29.2473684605134,-17.2561524033629,-16.623527289017,-13.7925546770924
0.28895614,-17.83692,-9.722174,-9.09877333278496,40.13021,0.64123225,0.6741009,15.832823,0.723767694427803,0.045529667,0.032682207,0.0036204538,-0.0021585684,0.0392412845563278,0.0062883824436722,0.534866501159894,0.37619631503743,0.00454550921386046,-23.4241745757247,0.189507626384523,3.1,30.0626250552192,0.28895614,-26.6583418501007,-16.7003733158385,-16.577092976336,-13.4170552607203
0.28032616,-19.620022,-10.380354,-9.89153549518952,40.263565,0.63336337,0.6806815,15.454518,0.728724911091714,0.0343375004,0.0245675876,-0.0013371507,-0.004558045,0.0296800461630508,0.00465745423694916,0.425805491632138,0.37011754643133,0.0029607901815258,-25.2859236810351,0.00364550882143267,3.4,33.4259821553697,0.28032616,-23.4122139149544,-19.819766131164,-17.1319067351292,-14.6423132251225
0.2836485,-18.880638,-10.060632,-9.52516168452412,40.141716,0.6378293,0.6769778,15.364564,0.70486187240109,0.03924899,0.027435226,0.0009606542,-0.0034269802,0.0334570532906258,0.00579193670937417,0.463993983451659,0.399153934217069,0.00381910419400317,-24.1803849290625,0.111984884860139,3.6,26.0371054696398,0.2836485,-24.6508840477807,-17.7537455670156,-17.201405355583,-14.0617151453836
0.28922093,-19.619139,-10.260408,-9.78411011365385,40.299564,0.6564141,0.6610024,16.000834,0.662131035205028,0.0349826324,0.0229175356,-0.0023121372,-0.0024431874,0.0290728595026045,0.00590977289739553,0.415486700730921,0.449725728506645,0.00368836952927392,-24.3316557447171,0.0733951302945267,2.7,28.515883302034,0.28922093,-26.120432200243,-17.1570874107163,-18.7629120336437,-14.5614751350287
0.28852838,-18.794033,-10.029923,-9.48793246243851,40.159363,0.6534104,0.6636734,15.736049,0.623744394952132,0.0364769973,0.0225142107,-0.001076738,-0.0031014732,0.0296146599552795,0.00686233734472047,0.469299367228354,0.493599267406833,0.00496683473176616,-23.0392029063415,0.127248074414688,2.3,25.0878058692055,0.28852838,-25.0843196724524,-16.6308765902027,-19.3356608107882,-14.3798091896513
0.27441862,-17.428658,-9.191555,-8.58431823022239,40.168007,0.66981214,0.6492719,18.533232,0.679749172395159,0.043957605,0.027735227,0.0077411104,0.0079784394,0.0369188753096116,0.00703872969038835,0.521946488742618,0.429095945116469,0.00578927829213168,-22.3737557328132,0.206095177722498,2.2,27.6260851281127,0.27441862,-20.9808204928208,-17.8283525579707,-17.101594524926,-13.5696597784134
0.28219178,-17.140541,-9.154797,-8.51392357621856,40.187183,0.66563916,0.652957,18.0013,0.723866060064174,0.0485396257,0.0342615743,0.0055470374,0.0054705194,0.0418379066562244,0.00670171904377563,0.548779976014054,0.376075933511498,0.00533415580684171,-22.7293430303247,0.230476182947094,3.6,26.0051539943456,0.28219178,-22.6197143749746,-17.5411577457775,-15.9424323850681,-13.1390357693386
0.3026178,-17.101913,-9.348322,-8.67485403827074,40.206547,0.6573373,0.66020083,17.341642,0.716543170081163,0.050924886,0.036455034,0.0014375102,-0.000689455,0.0437073826252309,0.00721750337476908,0.574584716717905,0.385011357664437,0.00552453336424829,-22.5770439925201,0.268277700777505,2.7,24.5909153412477,0.3026178,-31.6149407450547,-15.5970827497735,-16.4445965686583,-12.930699345345
0.30045295,-16.743986,-9.145783,-8.44964947848202,39.980675,0.64719343,0.6689801,17.133934,0.697661191836556,0.056208781,0.038600899,0.005932454,-0.003545154,0.04771173307207,0.00849704792793001,0.592415434891959,0.40780383478432,0.00639875265461778,-21.9390467726813,0.34874033383993,3.6,22.323264273288,0.30045295,-24.5036489450135,-15.5090042757646,-16.1015781138122,-12.5019583315065
0.372916666666667,-18.957302,-10.007629,-9.48700324910985,39.9136,0.6218075,0.6903162,15.5022955,0.602553760032562,0.04120502,0.023426294,0.008219904,0.00028881812,0.0330166298666085,0.00818839013339153,0.451887215999023,0.51718760311903,0.00505298642706841,-22.9645186832761,0.218789210019686,7.5,38.0677394238256,0.372916666666667,-35.3937556328678,-14.5618248229662,-22.2647785902086,-13.8504987072683
0.420432220039293,-19.498034,-10.906904,-10.3442578188973,40.149303,0.6083221,0.7010996,14.640595,0.672199404991923,0.0388324767,0.0251229633,0.0064537646,-0.0029259192,0.0324678222160514,0.00636465448394864,0.486051576683581,0.437974277468291,0.00367964838222304,-24.3419367941238,0.132601723500968,5.1,30.0779114270093,0.420432220039293,-25.3373767119726,-16.6620646787629,-18.4346995622862,-14.1080490966406
0.32093023255814,-19.057434,-11.342102,-10.663117835525,39.942764,0.5914376,0.7144492,14.711832,0.693777342078732,0.0386343107,0.0264049733,-0.0035375874,0.0029489552,0.032718960045245,0.00591535065475505,0.578932977460722,0.412447828769719,0.00380446712461907,-24.1970616439776,0.111592355054108,7,34.4399171732015,0.32093023255814,-25.3033182512219,-17.3140414191749,-17.6637978977036,-14.1302683188166
0.331147540983607,-18.773804,-10.855156,-10.2050154926893,39.736244,0.6021063,0.7061216,15.747478,0.567207800550988,0.041572645,0.022796415,0.0050598346,0.0032792424,0.0325764867667685,0.00899615823323149,0.556136211632041,0.555533755221562,0.00573983037376542,-22.411009418923,0.244659547750027,8,37.4709150481979,0.331147540983607,-24.8422647930762,-15.0872271880081,-21.3671120656088,-13.8119234325031
0.315904139433551,-18.96479,-10.931079,-10.2967552724725,39.529743,0.6430452,0.67255515,16.21931,0.702922266501375,0.047118632,0.032777684,0.0024052322,-0.004101392,0.0401196837999421,0.0069989482000579,0.543571166229967,0.401489010377598,0.00377043097673198,-24.2360900520034,0.230944489987705,5,33.8244802123388,0.315904139433551,-23.8706872003196,-16.8868887884176,-16.4708215896572,-13.2680732695346
0.335585585585586,-18.320986,-11.579521,-10.7453382319152,39.55991,0.62793285,0.6851933,15.882595,0.656276986640872,0.045685952,0.028974608,0.0076998012,0.00037919488,0.0378342954551898,0.00785165654481024,0.699029093939456,0.456511765082352,0.00505952851247548,-22.9588995232437,0.249006180212089,7,33.4271227991976,0.335585585585586,-34.211375352653,-14.8592666775947,-18.9816845024975,-13.4021732086627
0.373228346456693,-18.225554,-11.407082,-10.5862580920981,39.323273,0.6362713,0.6782078,16.073355,0.63684794986147,0.0406701054,0.0256677626,0.0016173874,-0.0030651094,0.03328538932232,0.00738471607768005,0.688859071433154,0.478788369447886,0.00546428171530518,-22.6246691835863,0.188256046051723,7,29.5071405562117,0.373228346456693,-25.1355402001395,-16.2206631894437,-18.6231272392779,-13.9072470208326
0.296137339055794,-21.181135,-10.892625,-10.5041485355087,40.97553,0.5429307,0.75030947,11.647265,0.725303111380603,0.0379581236,0.0268728284,0.0059155332,0.00090637408,0.0327446343746248,0.00521348922537525,0.342264109863703,0.374316142620507,0.00209286038031657,-26.7925974351063,0.0713347269225562,7.1,32.0196506550218,0.296137339055794,-30.4269252268783,-16.9126825545719,-17.7744200295267,-14.2069526437718
0.317880794701987,-19.947273,-10.6761675,-10.1906851260436,40.790337,0.5736861,0.72782904,12.891879,0.673787349775033,0.032004924,0.02119189,0.003988028,0.00016627823,0.0267847184608557,0.00522020553914432,0.423059242014477,0.436111628754052,0.00330197272504935,-24.812265184171,0.00730968174213881,8.6,38.9029560711342,0.317880794701987,-37.7916460712303,-16.7175271260162,-19.7694788771423,-14.9478319975767
0.302071973827699,-20.79187,-10.681668,-10.2776450742235,41.00973,0.55791956,0.739439,12.306982,0.705814038629438,0.039742459,0.027935031,0.0024815292,-0.00056799874,0.0338966222459274,0.00584583675407257,0.355334603678468,0.398006252122082,0.00245151721957028,-26.1056505190257,0.119142315644198,9.2,39.6708297832547,0.302071973827699,-32.4565262768978,-16.4822574608571,-17.7739792356067,-14.0074526513028
0.372069317023446,-15.712571,-9.080257,-8.22680066449807,40.50621,0.63624394,0.6782948,17.202286,0.680774708905955,0.060058918,0.03927161,-0.0093637,-0.0064633745,0.0504727552093283,0.00958616279067169,0.713646145317496,0.427885543404029,0.00856722471100098,-20.6715984177572,0.405464843330925,6.6,42.2732801729963,0.372069317023446,-21.8954067951421,-15.4290770823813,-16.029698961415,-12.2142249616072
0.380140421263791,-16.534456,-9.276416,-8.52819128157693,40.2664,0.61871284,0.6927932,15.874387,0.764875296551564,0.051999234,0.03939329,-0.0042355354,-0.0034806416,0.0458860817631021,0.00611315223689792,0.633043371885522,0.325045242086797,0.00522218926050198,-22.8214739270032,0.230616517851385,6.6,42.1557204472517,0.380140421263791,-24.583406935085,-17.3872273904584,-15.1901645262348,-12.8400305390411
0.413793103448276,-16.513107,-9.647814,-8.83501816296757,40.864037,0.6310001,0.68262833,16.363407,0.786125537224594,0.052405857,0.040248275,-0.006487273,-0.005935693,0.0468017197439201,0.00560413725607987,0.682733283021458,0.297940551249374,0.00477362389890797,-23.2115180088503,0.209069799992616,9.1,43.6602228487045,0.413793103448276,-22.265285692947,-19.050477454125,-14.6818417560611,-12.8062017254619
0.41015625,-17.804335,-10.075493,-9.39846127346257,41.150444,0.61246306,0.6977934,14.90632,0.82038594438164,0.05335656,0.0437606,0.0010166123,0.00022238014,0.0485647659322778,0.00479179406772219,0.577394578495383,0.253290478939703,0.00297787800652432,-25.2609309777878,0.170702948237527,8.5,38.9533023164217,0.41015625,-36.5290400069402,-17.2706452054256,-14.6360545700224,-12.7281217798912
0.457802923149458,-16.326729,-9.720704,-8.86254564030861,41.047848,0.6456951,0.67015606,16.974823,0.783460497674059,0.053731024,0.041520998,-0.0060152025,-0.0034508882,0.0479135794017884,0.0058174445982116,0.717202460782709,0.301364575455129,0.00504503693336085,-22.9713565006213,0.228581668731834,8.2,38.7222016043849,0.457802923149458,-24.6206911051714,-17.5650864555732,-14.8463144721505,-12.6977488261553
0.499335400974745,-17.719822,-10.878449,-10.0615607243098,41.21308,0.59865934,0.7086238,15.229785,0.739404568710448,0.043114968,0.03133221,0.0051776916,0.002789363,0.0374971861595024,0.00561778184049762,0.685857569851325,0.356938157529834,0.00440539312847016,-23.560153299518,0.138757683828853,10.4,23.5462695341204,0.499335400974745,-25.5449496417121,-17.4504633580268,-16.5093986849036,-13.653719318973
0.486238532110092,-18.247074,-10.461293,-9.79243473790717,41.227325,0.5816608,0.72181726,14.455101,0.798624143508858,0.0466976,0.036338888,0.008209074,0.0017105961,0.0419957154019596,0.00470188459804038,0.570947330207553,0.281787666947943,0.00301508792876224,-25.2070001804475,0.118015220778927,9.2,25.2395360564801,0.486238532110092,-27.6685252245679,-17.6204850304003,-15.5766493468077,-13.3070543920992
0.4933048,-16.627007,-8.78506,-8.12417450183049,40.169758,0.70779884,0.6138582,23.513575,0.619676399562678,0.0543269275,0.0297945125,-0.0022819824,-0.015505468,0.0439960211662513,0.0103309063337487,0.564646776329755,0.498162380131179,0.00826899419941385,-20.8254731272186,0.385414085961056,12.2,14.4627606752731,0.4933048,-18.0951512096163,-17.4342911174612,-16.8261441111462,-12.6498485612085
0.4951357,-16.585815,-8.887864,-8.20635998495444,40.132034,0.74727166,0.57367975,25.280432,0.507942149182574,0.058108731,0.025719769,-0.0041700694,-0.013866896,0.043812302355206,0.014296428644794,0.580917405199675,0.617026311950607,0.0108002687982941,-19.6656543560905,0.488268844925383,13.3,14.4571718988233,0.4951357,-18.5802074158973,-14.3128057693844,-21.4280607767787,-12.3575860874149
0.4951357,-16.564554,-9.291025,-8.54524789863876,40.18893,0.7202817,0.6015839,23.802519,0.609977761500884,0.055997307,0.028968339,-0.0035449618,-0.017747588,0.0450772094869689,0.0109200975130311,0.631145216180144,0.508974684486743,0.00860268229239562,-20.6536611583081,0.410990234540237,8.5,14.9163417803769,0.4951357,-17.508606617339,-17.3135745033403,-17.0582136316692,-12.5183285840741
0.50395256,-16.32641,-10.045463,-9.12719853470517,40.20829,0.74275154,0.5783104,24.352423,0.607026339102283,0.057071317,0.030146267,-0.006641097,-0.015725482,0.0458575548131279,0.0112137621868721,0.762322680971731,0.512246342266899,0.00915635113957086,-20.3827756079283,0.42500634576082,7.7,13.6612849483537,0.50395256,-18.0339603416682,-16.497687333475,-17.2246644432192,-12.4358210538633
0.5043257,-15.624016,-9.522197,-8.56921947330136,40.139633,0.7700114,0.54883,26.093716,0.487847504371558,0.058050873,0.025338715,-0.0055520986,-0.0113641816,0.0431854232598201,0.0148654497401799,0.788098332094737,0.637078654053442,0.0140280647891762,-18.5300223697953,0.49616478272253,4.6,17.6248412327027,0.5043257,-19.4446183485338,-13.6961329031293,-23.9894671829353,-12.3619124472417
0.48288572,-16.688051,-8.917681,-8.24661962384718,40.124462,0.7282071,0.59339917,24.541563,0.521536535136094,0.053979115,0.025477639,-0.0039100932,-0.011319926,0.0410655978034064,0.0129135171965936,0.572686301366277,0.603231553691072,0.0102575495176811,-19.8895637782644,0.434873287162124,10.4,20.4277864992151,0.48288572,-19.4615641218456,-14.6390766404439,-20.81126597506,-12.6777424007901
0.555396711937098,-15.827907,-9.987342,-8.98163272738416,41.75332,0.69991946,0.62143564,22.01577,0.604395201059854,0.046028794,0.025815336,-0.0028800186,-0.009960074,0.0369241881020863,0.00910460589791369,0.826861125253761,0.515155619937982,0.0103388173100903,-19.8552913871583,0.288683186570948,15.2,25.8850354014161,0.555396711937098,-20.0173743490238,-16.8810278187303,-18.079359285765,-13.3697040390261
0.62992125984252,-15.591896,-10.022505,-8.95933490716696,41.650345,0.7187953,0.60304147,22.862562,0.524144216052476,0.040511511,0.018734719,-0.0018332124,-0.009824818,0.0308726925870981,0.00963881841290187,0.868568135176764,0.60056431236313,0.0131306360211863,-18.8171423706348,0.249561074749538,11.1,18.4500677812923,0.62992125984252,-20.0767548597318,-16.215303646161,-21.685945101021,-13.9242155818091
0.608938547486034,-15.289581,-9.738595,-8.67142174438322,41.125416,0.6963605,0.6248199,21.497223,0.581929464473551,0.051123698,0.02877787,-0.0033637052,-0.0067531596,0.0404370420995238,0.0106866559004762,0.87145308620932,0.539714316951988,0.0123677702007156,-19.0770859275696,0.369217924972567,14.3,27.1932381229962,0.608938547486034,-21.7049298631117,-15.0604956122992,-18.7991322551422,-12.9137773929982
